wname,tokpred_params,head_pred_params,total_params,total_model_params,spt_perc,hpt_perc
L3_1B_2k,39656448,143040,39799488,1275613888,3.10881281342713,0.01121342448099781
L3_3B_2k,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
L2_7B_2k,83113984,278720,83392704,6821808320,1.2183570704607543,0.0040857201921498726
L3_8B_1k,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
M7B_2k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
L3_1B_2k_1PC,12393472,143040,12536512,1248350912,0.9927875151822696,0.011458316617947887
L3_3B_2k_1PC,32598528,149232,32747760,3245497584,1.0044231171425824,0.004598123897417142
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
Q25_3B_2k_1PC,33364992,76192,33441184,3119379872,1.0696033624980703,0.0024425367581521664
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
P3mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
M7B_1k,83113984,278720,83392704,7325124800,1.1346425660897954,0.003804986366921694
P35mini_1k_1PC,44132864,243904,44376768,3865456320,1.1417245558216527,0.006309837178550758
DEBUG,83113984,278720,83392704,6821808320,1.2183570704607543,0.0040857201921498726
DEBUG,83113984,278720,83392704,6821808320,1.2183570704607543,0.0040857201921498726
DEBUG,83113984,278720,83392704,6821808320,1.2183570704607543,0.0040857201921498726
LongChat_snapkv,18442752,149232,18591984,3231341808,0.570745934532222,0.004618267235937053
LongChat_snapkv,18442752,149232,18591984,3231341808,0.570745934532222,0.004618267235937053
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,54618624,149232,54767856,3267517680,1.6715632277772403,0.004567136726250246
LongChat_snapkv,32598528,149232,32747760,3245497584,1.0044231171425824,0.004598123897417142
LongChat_snapkv,12393472,143040,12536512,1248350912,0.9927875151822696,0.011458316617947887
LongChat_snapkv,83113984,278720,83392704,6821808320,1.2183570704607543,0.0040857201921498726
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
LongChat_snapkv,83113984,278720,83392704,8113653952,1.0243718119074152,0.003435197035132316
